label,zero_crossing_rate,rmse,spectral_centroid,spectral_bandwidth,rolloff,chroma_stft,tempo,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
dog,0.007328750362529003,0.007517813,273.9277031205065,255.4752436615077,436.2596976508121,0.031938493,234.90767045454544,-581.7399,8.207122,-6.6588025,-4.290907,-3.0344782,0.25927916,-1.9639465,-0.2715769,0.51828414,0.34188423,0.906102,-0.009524583,-0.1905495,-0.13267727,-0.6076135,-0.07146996,0.26370293,0.025098756,-0.28837475,-0.8003294,-0.35785246,-0.13165283,0.11536015,0.26193744,-0.34504008,-0.6398058,0.13199532,0.26743194,-0.43177864,-0.13855173,-0.15615252,-0.19292855,0.04531315,0.13531962,-0.37237462,-0.19079834,-0.034301493,0.4613935,0.036233038,0.10609597
chirping_birds,0.15799353792053364,0.04811499,4042.2812036202286,2643.1096962158636,6623.4833825768565,0.3277646,135.24672813906088,-254.93633,85.83962,-107.10316,31.011576,-39.987736,-17.290344,-37.2141,-18.145693,-11.705069,-17.621456,-26.893173,-13.461914,-9.417187,-23.256514,-10.17591,-13.112859,-11.486033,-8.261404,-9.594435,-8.9457,-1.4432815,-6.0692525,-0.38858667,4.4609385,-5.124487,3.9291198,3.6987963,-1.6511674,-0.8853587,0.57569265,4.550073,-0.1469648,0.1782702,1.6905268,5.4476833,0.4169262,0.16902079,4.5045023,0.25317362,0.9598117
vacuum_cleaner,0.19946912159222738,0.27103332,4410.555927791441,4051.6431959119436,8364.42536887326,0.21473248,125.61629930394432,-30.461212,102.50391,-40.419437,39.0169,-22.44916,12.773843,-8.455192,20.69704,-11.590557,18.945305,-8.014072,2.2268205,-11.83222,23.583239,-8.973842,21.120914,7.334766,-2.81668,-0.37159103,8.710255,-4.024784,6.375262,3.0849404,0.77407527,-0.17963213,5.5321445,-2.60436,3.9415736,2.9556632,7.2374587,-1.0323906,3.8180845,-1.0442857,-3.574513,-0.42861292,2.9597435,-5.236283,3.7336104,-0.77745783,-4.646245
vacuum_cleaner,0.20207933040893272,0.27481577,4370.451735425155,3949.2391925043703,8421.281018887761,0.21559897,125.92136315780013,-31.114239,104.30038,-43.018017,42.27738,-26.241453,18.346588,-10.591762,22.34433,-12.172707,16.495598,-7.7121186,1.7465985,-8.598816,21.815111,-7.837487,20.05395,7.4564385,-3.0139534,0.81693846,6.7962875,-0.7647056,4.907574,5.026412,-0.78036606,1.2478149,5.6843596,-2.3780394,6.57395,3.667737,7.342086,1.6686128,3.1429648,-0.02545559,-5.121931,0.7524893,3.528042,-5.6569185,5.643174,-2.622052,-2.5225441
thunderstorm,0.02757372933584687,0.008840839,2075.73886511531,3455.603119744301,4559.8431155742455,0.53425235,125.15916460054609,-466.62213,144.2614,22.961355,52.213543,2.9706826,11.319601,-2.8959322,0.076405965,-8.92912,10.019112,-6.963048,-5.848207,-11.108881,3.9242592,-8.33141,-5.5905633,-0.8693202,-4.8701253,-3.561917,0.07623443,-2.064733,-7.8940163,-5.473935,-2.562176,-1.5321083,-7.310143,1.7523252,-7.431458,-6.1050396,-1.4709833,-0.6996701,-3.4275985,1.1743451,1.4948325,-2.942473,-0.7086507,-0.4877068,0.72154456,-3.0022068,1.0910019
thunderstorm,0.028876567937935034,0.013171813,1850.646524255233,3093.555844188283,3547.033153277262,0.53628063,122.54427005165658,-441.77423,153.39592,32.532104,38.86476,0.38636088,-1.5141028,2.6817265,-3.4703333,-3.5469103,5.873671,-2.6644397,-7.838372,-6.315546,2.9989412,-6.7675347,-7.3234553,0.67641574,-6.099306,-5.47474,0.3022553,-2.5251753,-7.353568,-5.174017,-0.24110274,-2.4098804,-6.849778,1.2644668,-6.2103357,-4.733,0.0037934554,-1.1709126,-2.9227207,0.7303503,0.58672214,-3.7593951,-1.1134093,-1.5164177,1.7309599,-2.3708494,0.8411024
door_wood_knock,0.007761519359048724,0.053136505,865.607912796378,1550.7382899325441,1816.2832167198376,0.34630325,161.4990234375,-454.30414,99.39631,29.221012,13.574592,13.696905,5.145906,-3.0563974,-0.11262898,5.8046284,4.9946175,-0.1455908,-1.8429533,-0.2039763,0.82226723,-0.19923587,-0.8497446,-0.1947094,-0.17763276,-1.3494607,-2.3868055,-2.3611274,-1.6500301,-1.2342064,-0.7283477,-0.48302126,-0.8938741,-0.65980476,-0.2692963,-0.75096154,-1.1346495,-0.7251609,-0.05711487,0.03612906,-0.22608775,-0.37529087,-0.42998892,-0.054634962,0.46529266,-0.2346081,-1.7133743
can_opening,0.14545796476218098,0.0144184185,5922.564342814441,4545.525834931869,11203.810519685325,0.69596016,121.00195849970319,-510.86447,30.666025,-15.928077,27.211466,-2.366343,10.939699,3.757582,17.757711,12.412343,4.0061874,0.22600724,3.7456644,4.6867476,1.6840242,6.192461,3.3201623,5.465921,3.6773753,1.4120413,4.5311737,0.25460073,3.9978971,3.5127184,2.7502556,2.0426826,-0.046605155,1.5645549,0.6827645,-1.3527192,0.307368,2.6640375,2.4506638,0.40287623,1.3178593,1.5072335,0.08673124,1.4307474,0.65620434,1.2456546,1.0958792
crow,0.04132943916763341,0.12386889,2675.116865071054,3530.1839050425374,6261.615655814965,0.67077106,114.37533173212337,-173.1824,131.6637,-23.35065,44.62689,-16.70408,34.943077,13.708272,24.017618,-3.575598,12.136038,-1.485326,13.711202,4.8388615,2.364948,5.9391665,2.7928994,0.8455525,-0.5069352,3.251501,-1.8775808,3.3447778,0.0702698,3.4969146,-0.95581216,2.8400834,-1.7047031,3.6834962,0.39229035,1.1841971,3.120171,0.010924656,1.428812,1.2991459,0.24723624,-3.81305,-1.0042301,-4.206838,-0.27906656,-0.039807666,-0.1297369
door_wood_knock,0.0025909494634570765,0.0182855,338.6805519446606,699.7851069208465,553.7680358178654,0.18699452,169.7071534923794,-579.4564,38.904858,11.928011,5.536368,3.2450657,5.922209,2.6926987,3.5705726,2.8689494,1.5854607,0.8650675,2.2244656,1.9843959,1.812694,1.6578952,1.8602102,1.6768231,1.4623237,1.2030109,1.9741879,2.6979282,2.6192164,2.3578436,2.002823,1.9704286,1.3585771,0.49182636,-0.15630554,-0.52334183,-0.65160215,-1.0467795,-0.8916125,-0.029770557,0.28051114,0.5467305,0.47188875,-0.4830893,-0.7911728,-0.34815776,0.10692134
